name,dgbas_id
七堵區,1001702
七堵區三光里,6801300-006
七堵區三民里,6801300-001
七堵區奎輝里,6801300-007
七堵區澤仁里,6801300-002
七堵區羅浮里,6801300-009
七堵區義盛里,6801300-003
七堵區華陵里,6801300-008
七堵區霞雲里,6801300-004
七堵區高義里,6801300-010
七美鄉,1001606
七美鄉三光里,6801300-006
七美鄉三民里,6801300-001
七美鄉奎輝里,6801300-007
七美鄉澤仁里,6801300-002
七美鄉羅浮里,6801300-009
七美鄉義盛里,6801300-003
七美鄉華陵里,6801300-008
七美鄉長興里,6801300-005
七美鄉霞雲里,6801300-004
七美鄉高義里,6801300-010
七股區,6701500
七股區三光里,6801300-006
七股區三民里,6801300-001
七股區奎輝里,6801300-007
七股區澤仁里,6801300-002
七股區羅浮里,6801300-009
七股區義盛里,6801300-003
七股區華陵里,6801300-008
七股區長興里,6801300-005
七股區霞雲里,6801300-004
七股區高義里,6801300-010
三地門鄉,1001326
三地門鄉三光里,6801300-006
三地門鄉三民里,6801300-001
三地門鄉奎輝里,6801300-007
三地門鄉澤仁里,6801300-002
三地門鄉羅浮里,6801300-009
三地門鄉義盛里,6801300-003
三地門鄉華陵里,6801300-008
三地門鄉長興里,6801300-005
三地門鄉霞雲里,6801300-004
三地門鄉高義里,6801300-010
三峽區,6500900
三峽區三光里,6801300-006
三峽區三民里,6801300-001
三峽區奎輝里,6801300-007
三峽區澤仁里,6801300-002
三峽區羅浮里,6801300-009
三峽區義盛里,6801300-003
三峽區華陵里,6801300-008
三峽區長興里,6801300-005
三峽區霞雲里,6801300-004
三峽區高義里,6801300-010
三星鄉,1000210
三星鄉三光里,6801300-006
三星鄉三民里,6801300-001
三星鄉奎輝里,6801300-007
三星鄉澤仁里,6801300-002
三星鄉羅浮里,6801300-009
三星鄉義盛里,6801300-003
三星鄉華陵里,6801300-008
三星鄉長興里,6801300-005
三星鄉霞雲里,6801300-004
三星鄉高義里,6801300-010
三民區,6400500
三民區三光里,6801300-006
三民區三民里,6801300-001
三民區奎輝里,6801300-007
三民區澤仁里,6801300-002
三民區羅浮里,6801300-009
三民區義盛里,6801300-003
三民區華陵里,6801300-008
三民區長興里,6801300-005
三民區霞雲里,6801300-004
三民區高義里,6801300-010
三灣鄉,1000516
三灣鄉三光里,6801300-006
三灣鄉三民里,6801300-001
三灣鄉奎輝里,6801300-007
三灣鄉澤仁里,6801300-002
三灣鄉羅浮里,6801300-009
三灣鄉義盛里,6801300-003
三灣鄉華陵里,6801300-008
三灣鄉長興里,6801300-005
三灣鄉霞雲里,6801300-004
三灣鄉高義里,6801300-010
三義鄉,1000513
三義鄉三光里,6801300-006
三義鄉三民里,6801300-001
三義鄉奎輝里,6801300-007
三義鄉澤仁里,6801300-002
三義鄉羅浮里,6801300-009
三義鄉義盛里,6801300-003
三義鄉華陵里,6801300-008
三義鄉長興里,6801300-005
三義鄉霞雲里,6801300-004
枋寮鄉,1001316
三義鄉高義里,6801300-010
三芝區,6502100
三芝區三光里,6801300-006
三芝區三民里,6801300-001
三芝區奎輝里,6801300-007
三芝區澤仁里,6801300-002
三芝區羅浮里,6801300-009
三芝區義盛里,6801300-003
三芝區華陵里,6801300-008
三芝區長興里,6801300-005
三芝區霞雲里,6801300-004
三芝區高義里,6801300-010
三重區,6500200
三重區三光里,6801300-006
三重區奎輝里,6801300-007
三重區澤仁里,6801300-002
三重區羅浮里,6801300-009
三重區義盛里,6801300-003
三重區華陵里,6801300-008
三重區長興里,6801300-005
三重區霞雲里,6801300-004
三重區高義里,6801300-010
下營區,6700800
下營區三光里,6801300-006
下營區三民里,6801300-001
下營區奎輝里,6801300-007
下營區澤仁里,6801300-002
下營區羅浮里,6801300-009
下營區義盛里,6801300-003
下營區華陵里,6801300-008
下營區長興里,6801300-005
下營區霞雲里,6801300-004
下營區高義里,6801300-010
中區,6600100
中　區,6600100
中區三光里,6801300-006
中　區三光里,6801300-006
中區三民里,6801300-001
中　區三民里,6801300-001
